cc_bio,code_3,code_2,nom_scient,nom_fr,vc_code,vc_nom_fr,vc_nom_en,vc_genus,vc_species,vc_scientificname,vc_class,vc_order,vc_family,usda_symbol,usda_code,usda_scientific_name
Juhor,JUH,,Juniperus horizontalis,Genévrier horizontal,,,,,,,,,,,,
Juvir,JUV,,Juniperus virginiana,Genévrier de Virginie,,,,,,,,,,,,
Ladec,MEU,ME,Larix decidua,Mélèze européen,7164,mÃ©lÃ¨ze d'Europe,European larch,Larix,decidua,Larix decidua Miller,Equisetopsida,Pinales,Pinaceae,LADE2,6212,Larix decidua
Lalar,MEL,ML,Larix laricina,Mélèze laricin,7166,mÃ©lÃ¨ze laricin,tamarack,Larix,laricina,Larix laricina (Du Roi) K. Koch,Equisetopsida,Pinales,Pinaceae,LALA,71,Larix laricina
Lalep,MEJ,MJ,Larix leptolepis,Mélèze japonais,,,,,,,,,,,,
Locan,LON,,Lonicera canadensis,Chèvrefeuille du Canada,,,,,,,,,,,,
Lohir,LOH,,Lonicera hirsuta,Chèvrefeuille hirsute,,,,,,,,,,,,
Lovil,LOV,,Lonicera villosa,Chèvrefeuille velu,,,,,,,,,,,,
Mygal,MYG,,Myrica gale,Myrique baumier,,,,,,,,,,,,
Nemuc,NEM,,Nemopanthus mucronatus,Némopanthe mucroné,,,,,,,,,,,,
Osvir,OSV,OV,Ostrya virginiana,Ostryer de Virginie,3727,ostryer de Virginie,eastern hop-hornbeam,Ostrya,virginiana,Ostrya virginiana (Miller) K. Koch,Equisetopsida,Fagales,Betulaceae,OSVI,701,Ostrya virginiana
Paqui,PAQ,,Parthenocissus quinquefolia,Parthénocisse à cinq folioles,,,,,,,,,,,,
Piabi,EPO,EV,Picea abies,Épinette de Norvège,7169,Ã©pinette de NorvÃ¨ge,Norway spruce,Picea,abies,Picea abies (Linnaeus) H. Karsten,Equisetopsida,Pinales,Pinaceae,PIAB,91,Picea abies
Piban,PIG,PG,Pinus banksiana,Pin gris,7181,pin gris,jack pine,Pinus,banksiana,Pinus banksiana Lambert,Equisetopsida,Pinales,Pinaceae,PIBA2,105,Pinus banksiana
Piglau,EPB,EB,Picea glauca,Épinette blanche,7173,Ã©pinette blanche,white spruce,Picea,glauca,Picea glauca (Moench) Voss,Equisetopsida,Pinales,Pinaceae,PIGL,94,Picea glauca
Pimar,EPN,EN,Picea mariana,Épinette noire,7174,Ã©pinette noire,black spruce,Picea,mariana,"Picea mariana (Miller) Britton, Sterns & Poggenburgh",Equisetopsida,Pinales,Pinaceae,PIMA,95,Picea mariana
Pires,PIR,PR,Pinus resinosa,Pin rouge,7193,pin rouge,red pine,Pinus,resinosa,Pinus resinosa Aiton,Equisetopsida,Pinales,Pinaceae,PIRE,125,Pinus resinosa
Pirig,PID,PC,Pinus rigida,Pin rigide,7194,pin rigide,pitch pine,Pinus,rigida,Pinus rigida P. Miller,Equisetopsida,Pinales,Pinaceae,PIRI,126,Pinus rigida
Pirub,EPR,EU,Picea rubens,Épinette rouge,7177,Ã©pinette rouge,red spruce,Picea,rubens,Picea rubens Sargent,Equisetopsida,Pinales,Pinaceae,PIRU,97,Picea rubens
Pistr,PIB,PB,Pinus strobus,Pin blanc,7195,pin blanc,eastern white pine,Pinus,strobus,Pinus strobus Linnaeus,Equisetopsida,Pinales,Pinaceae,PIST,129,Pinus strobus
Pisyl,PIS,PS,Pinus sylvestris,Pin sylvestre,7196,pin sylvestre,Scots pine,Pinus,sylvestris,Pinus sylvestris Linnaeus,Equisetopsida,Pinales,Pinaceae,PISY,130,Pinus sylvestris
Pobal,PEB,PA,Populus balsamifera,Peuplier baumier,9044,peuplier baumier,balsam poplar,Populus,balsamifera,Populus balsamifera Linnaeus,Equisetopsida,Malpighiales,Salicaceae,POBA2,741,Populus balsamifera
Podel,PED,PL,Populus deltoides,Peuplier deltoïde,9047,peuplier deltoÃ¯de,eastern cottonwood,Populus,deltoides,Populus deltoides W. Bartram ex Marshall,Equisetopsida,Malpighiales,Salicaceae,PODE3,742,Populus deltoides
Pogra,PEG,PD,Populus grandidentata,Peuplier à grandes dents,9049,peuplier Ã  grandes dents,large-toothed aspen,Populus,grandidentata,Populus grandidentata Michaux,Equisetopsida,Malpighiales,Salicaceae,POGR4,743,Populus grandidentata
Potre,PET,PT,Populus tremuloides,Peuplier faux tremble,9053,peuplier faux-tremble,trembling aspen,Populus,tremuloides,Populus tremuloides Michaux,Equisetopsida,Malpighiales,Salicaceae,POTR5,746,Populus tremuloides
Prpen,PRP,,Prunus pensylvanica,Cerisier de Pennsylvanie,8871,cerisier de Pennsylvanie,pin cherry,Prunus,pensylvanica,Prunus pensylvanica Linnaeus f.,Equisetopsida,Rosales,Rosaceae,PRPE2,761,Prunus pensylvanica
Prser,CET,CT,Prunus serotina,Cerisier tardif,8876,cerisier tardif,black cherry,Prunus,serotina,Prunus serotina Ehrhart,Equisetopsida,Rosales,Rosaceae,PRSE2,762,Prunus serotina
Prvir,PRV,,Prunus virginiana,Cerisier de Virginie,8881,cerisier de Virginie,chokecherry,Prunus,virginiana,Prunus virginiana Linnaeus,Equisetopsida,Rosales,Rosaceae,PRVI,763,Prunus virginiana
Qualb,CHB,CB,Quercus alba,Chêne blanc,5959,chÃªne blanc,white oak,Quercus,alba,Quercus alba Linnaeus,Equisetopsida,Fagales,Fagaceae,QUAL,802,Quercus alba
Qubic,CHE,CI,Quercus bicolor,Chêne bicolore,5960,chÃªne bicolore,swamp white oak,Quercus,bicolor,Quercus bicolor Willdenow,Equisetopsida,Fagales,Fagaceae,QUBI,804,Quercus bicolor
Qumac,CHG,CG,Quercus macrocarpa,Chêne à gros fruits,5965,chÃªne Ã  gros fruits,bur oak,Quercus,macrocarpa,Quercus macrocarpa Michaux,Equisetopsida,Fagales,Fagaceae,QUMA2,823,Quercus macrocarpa
Qurub,CHR,CR,Quercus rubra var.,Chêne rouge,5970,chÃªne rouge,northern red oak,Quercus,rubra,Quercus rubra Linnaeus,Equisetopsida,Fagales,Fagaceae,QURU,833,Quercus rubra
Rhaln,RHA,,Rhamnus alnifolia,Nerprun à feuilles d'aulne,,,,,,,,,,,,
Rhcat,RHM,,Rhamnus cathartica,Nerprun cathartique,8597,nerprun cathartique,European buckthorn,Rhamnus,cathartica,Rhamnus cathartica Linnaeus,Equisetopsida,Rosales,Rhamnaceae,RHCA3,6918,Rhamnus cathartica
Rhrad,RHR,,Rhus radicans,Sumac grimpant,,,,,,,,,,,,
Rhtyp,RHT,,Rhus typhina,Sumac vinaigrier,,,,,,,,,,,,
Riame,RIA,,Ribes americanum,Gadellier américain,,,,,,,,,,,,
Ricyn,RIC,,Ribes cynosbati,Groseillier des chiens,,,,,,,,,,,,
Rigla,RIG,,Ribes glandulosum,Gadellier glanduleux,,,,,,,,,,,,
Rihir,RIH,,Ribes hirtellum,Groseillier hérissé,,,,,,,,,,,,
Rilac,RIL,,Ribes lacustre,Gadellier lacustre,,,,,,,,,,,,
Ritri,RIT,,Ribes triste,Gadellier amer,,,,,,,,,,,,
Roaci,ROA,,Rosa acicularis,Rosier aciculaire,,,,,,,,,,,,
Ruall,RUA,,Rubus alleghaniensis,Ronce des Alléghanys,,,,,,,,,,,,
Ruida,RUI,,Rubus idaeus,Framboisier rouge,,,,,,,,,,,,
Ruocc,RUO,,Rubus occidentalis,Framboisier noir,,,,,,,,,,,,
Ruodo,RUD,,Rubus odoratus,Ronce odorante,,,,,,,,,,,,
Sacan,SAC,,Sambucus canadensis,Sureau blanc,,,,,,,,,,,,
Sapub,SAP,,Sambucus pubens,Sureau pubescent,,,,,,,,,,,,
