ESSENCE,ESS,CODE_CCBIO,NOM_LATIN,NOM_FRANCAIS,FAMILLE
,,Quphe,Quercus phellos L.,Chêne à feuilles de saule,Fagaceae
,,Qupri,Quercus prinus L.,Chêne châtaignier,Fagaceae
CR,CHR,Qurub,Quercus rubra L.,Chêne rouge,Fagaceae
,,Qushu,Quercus shumardii Buckl.,Chêne de Shumard,Fagaceae
,,Quste,Quercus stellata Wangenh. ,Chêne étoilé,Fagaceae
,,Quvel,Quercus velutina Lam. ,Chêne des teinturiers,Fagaceae
,,Quvir,Quercus virginiana Mill.,Chêne de Virginie,Fagaceae
RF,NA,Ropse,Robinia pseudoacacia L.,Robinier faux-acacia,Fabaceae
,,Sanig,Salix nigra Marsh.,Saule noir,Salicaceae
,,Saalb,Sassafras albidum (Nutt.) Nees,Sassafras officinal,Lauraceae
,,Soame,Sorbus americana Marsh.,Sorbier d'Amérique,Rosaceae
,,Tadis,Taxodium distichum (L.) Rich.,Cyprès chauve,Taxodiaceae
TO,THO,Thocc,Thuja occidentalis L.,Thuya occidental,Cupressaceae
TA,TIA,Tiame,Tilia americana L.,Tilleul d'Amérique,Malvaceae
PU,PRU,Tscan,Tsuga canadensis (L.) Carrière,Pruche du Canada,Pinaceae
,,Ulala,Ulmus alata Michx.,Orme ailé,Ulmaceae
OA,ORA,Ulame,Ulmus americana L.,Orme d'Amérique,Ulmaceae
OO,ORR,Ulrub,Ulmus rubra Mühl.,Orme rouge,Ulmaceae
OT,ORT,Ultho,Ulmus thomasii Sarg.,Orme liège,Ulmaceae
CH,,,,Combinaison des chênes,
EP,,,,Combinaison des épinettes,
ER,,,,Combinaison des érables,
FH,,,,Association de feuillus sur station humide,
FI,,,,Association de feuillus intolérants,
FN,,,,Association de feuillus non commerciaux,
FT,,,,Association de feuillus tolérants,
FX,,,,Feuillus indéterminés,
FZ,,,,Feuillus plantés indéterminés,
ME,,,,Mélèze européen,
MH,,,,Mélèze hybride,
MJ,,,,Mélèze japonais,
OR,,,,Combinaison des ormes,
PE,,,,Combinaison des peupliers,
PH,,,,Peuplier hybride,Salicaceae
PI,,,,Combinaison des pins,
PO,,,,Peuplier européen,Salicaceae
RX,,,,Résineux indéterminés,
RZ,,,,Résineux plantés indéterminés,
SE,,,,Association de sapin et d'épinette blanche,
